name,count
Raymond,444
Marshal,436
Marina,583
Zucker,469
Sherb,341
Judy,346
Fauna,276
Bob,177
Audie,559
Beau,280
Coco,191
Stitches,276
Lucky,177
Molly,106
Dom,211
Lolly,157
Scoot,16
Merengue,437
Cherry,109
Goldie,133
Roald,72
Diana,258
Ankha,260
Rosie,151
Julian,270
Ketchup,80
Erik,100
Tangy,85
Apple,100
Maple,113
Pietro,160
Punchy,96
Apollo,102
Tia,114
Flora,114
Cookie,82
Weber,6
Fang,149
Whitney,189
Lily,89
Flurry,132
Skye,222
Poppy,74
Filbert,47
Pashmina,68
Bangle,32
Octavian,185
Clay,29
Melba,59
Bam,95
Katt,36
Kiki,59
Hornsby,50
Muffy,78
Bluebear,79
Chevre,46
Zell,81
Merry,50
Wolfgang,88
Kabuki,46
Aurora,33
Pekoe,56
Bianca,73
Kyle,85
Agnes,53
Hazel,45
Genji,87
Bunnie,58
Lobo,51
Gayle,64
Peanut,42
Lyman,23
Ruby,53
Teddy,23
Daisy,35
Ozzie,24
Cube,22
Kidd,41
Phoebe,92
Hamlet,55
Vesta,29
Shari,34
Antonio,37
Freya,86
June,51
Mitzi,47
Chrissy,81
Shep,58
Eugene,39
Drago,75
Kid Cat,61
Puddles,28
Wendy,43
Bones,33
Biskit,21
Midge,27
Wade,19
Henry,21
Dobie,70
Roscoe,21
Flo,32
Ellie,42
Reneigh,157
Dizzy,11
Tutu,19
Dotty,31
Mira,72
Sprocket,39
Cranston,35
Static,23
Rex,30
Bill,30
Cheri,44
Ribbot,28
Snake,43
Chief,120
Nan,20
Julia,35
Celia,43
Sterling,18
Biff,15
Lopez,45
Canberra,26
Sydney,17
Gala,23
Olivia,27
Pinky,27
Joey,12
Rolf,32
Stella,29
Tammy,33
Poncho,26
Walker,15
Papi,25
Graham,22
Tank,22
Fuchsia,42
Jeremiah,16
Gladys,33
Alice,23
Norma,53
Phil,28
Nana,42
Freckles,7
Goose,19
Raddle,21
Quillson,15
Moe,24
Deirdre,47
Rudy,36
Bruce,37
Margie,38
Megan,62
Nate,19
Bubbles,17
Egbert,13
Piper,34
Bertha,5
Chester,14
Olive,12
Diva,33
Bea,22
Vivian,67
Maddie,31
Boomer,14
Puck,4
Axel,18
Mac,19
Walt,13
Keaton,33
Alfonso,15
Vladimir,4
Pango,22
Sly,16
Butch,30
Patty,32
Tex,31
Pate,10
Sylvana,25
Francine,81
Savannah,32
Deli,12
Rodeo,32
Carmen,22
Billy,20
Frita,29
Mint,12
Tom,28
Boots,16
Flip,27
Tiffany,24
Felicity,36
Buck,19
Murphy,13
Bella,13
Eunice,17
Stu,14
Sprinkle,74
Nibbles,10
Boone,6
Willow,21
Chadder,34
Blanche,51
Agent S,14
Prince,7
Doc,15
Blaire,21
Plucky,36
Elvis,29
Pierce,15
Twiggy,21
Beardo,20
Ken,29
Colton,50
Olaf,32
Pudge,11
Tipper,22
Tabby,18
Anchovy,7
Coach,18
Stinky,16
Al,12
Del,11
Deena,4
Rodney,12
Bettina,7
Cole,14
Drake,4
Lionel,36
Iggly,15
Pompom,10
Avery,12
Cyd,53
Camofrog,14
Broccolo,11
Barold,6
Rod,19
Pecan,6
Cyrano,6
Winnie,8
Sheldon,14
Marcie,20
Caroline,12
Annalisa,24
Spike,20
Jay,11
Jacob,9
Peggy,16
Kitt,9
Marcel,8
Hopper,9
Sylvia,23
Renee,26
Gaston,6
Tasha,24
Victoria,19
Portia,24
Hopkins,11
Ava,16
Derwin,3
Tammi,24
Gonzo,11
Purrl,18
Hugh,12
Tybalt,12
Drift,7
Chops,18
Paolo,15
Rowan,15
Maggie,10
Hamphrey,10
Klaus,22
Sally,13
Hans,30
Rocket,16
Jacques,19
Ed,22
Grizzly,9
Benedict,17
Benjamin,7
Bud,11
Bree,12
Anabelle,9
Amelia,16
Bonbon,12
Leonardo,15
Kody,11
Elmer,6
Lucy,11
Claude,7
Curlos,28
Simon,11
Dora,4
Louie,7
Eloise,14
Leopold,31
Gabi,6
Cousteau,6
Opal,18
Curt,3
Big Top,7
Rasher,11
Kevin,15
Rory,6
Tucker,11
Groucho,2
Pippy,7
Ike,5
Cally,9
Knox,10
Rhonda,16
Yuka,13
O'Hare,23
Gloria,6
Soleil,25
Lucha,22
Sandy,10
Truffles,7
Samson,6
Claudia,14
Carrie,6
Ursala,12
Huck,20
Peck,10
Peewee,2
Sparro,5
Tad,8
Spork,9
Cobb,10
Mathilda,10
Admiral,10
Jitters,7
Kitty,14
Charlise,5
Gruff,9
Astrid,9
Cleo,16
Clyde,6
Peaches,11
Naomi,14
Gigi,3
Angus,7
Mott,7
Jambette,4
Frobert,6
Monique,7
Penelope,5
Frank,10
Friga,7
Rocco,4
Vic,14
Ricky,7
Rooney,12
Monty,15
Curly,8
Harry,8
Croque,8
Anicotti,8
Gwen,9
Paula,7
Alli,10
Candi,8
Annalise,11
Robin,15
Buzz,8
Velma,12
Timbra,9
Hippeux,8
Miranda,14
Violet,8
Limberg,4
Queenie,8
Becky,10
T-Bone,1
Chow,8
Boris,6
Mallary,9
Cashmere,6
Baabara,6
Maelle,6
Cesar,1
Moose,9
Snooty,147
Boyd,3
Bitty,8
Elise,4
Wart Jr.,1
Pancetti,6
Greta,3
Broffina,7
Rizzo,7
