name,ranking,image
Raymond,1,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c446_i.png
Marshal,2,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c324_i.png
Marina,3,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c203_i.png
Zucker,4,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c81_i.png
Sherb,5,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c445_i.png
Judy,6,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c450_i.png
Fauna,7,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c98_i.png
Bob,8,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c5_i.png
Audie,9,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c447_i.png
Beau,10,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c112_i.png
Coco,11,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c74_i.png
Stitches,12,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c51_i.png
Lucky,13,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c377_i.png
Molly,14,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c80_i.png
Dom,15,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c444_i.png
Lolly,16,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c99_i.png
Scoot,17,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c189_i.png
Merengue,18,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c89_i.png
Cherry,19,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c152_i.png
Goldie,20,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c437_i.png
Roald,21,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c9_i.png
Diana,22,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c8_i.png
Ankha,23,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c317_i.png
Rosie,24,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c68_i.png
Julian,25,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c86_i.png
Ketchup,26,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c242_i.png
Erik,27,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c243_i.png
Tangy,28,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c194_i.png
Apple,29,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c319_i.png
Maple,30,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c191_i.png
Pietro,31,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c125_i.png
Punchy,32,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c118_i.png
Apollo,33,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c217_i.png
Tia,34,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c391_i.png
Flora,35,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c50_i.png
Cookie,36,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c195_i.png
Weber,37,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c207_i.png
Fang,38,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c429_i.png
Whitney,39,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c311_i.png
Lily,40,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c44_i.png
Flurry,41,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c34_i.png
Skye,42,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c94_i.png
Poppy,43,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c259_i.png
Filbert,44,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c180_i.png
Pashmina,45,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c436_i.png
Bangle,46,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c285_i.png
Octavian,47,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c315_i.png
Clay,48,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c355_i.png
Melba,49,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c119_i.png
Bam,50,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c380_i.png
Katt,51,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c133_i.png
Kiki,52,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c341_i.png
Hornsby,53,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c90_i.png
Muffy,54,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c55_i.png
Bluebear,55,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c201_i.png
Chevre,56,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c79_i.png
Zell,57,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c183_i.png
Merry,58,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c206_i.png
Wolfgang,59,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c398_i.png
Kabuki,60,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c402_i.png
Aurora,61,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c31_i.png
Pekoe,62,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c159_i.png
Bianca,63,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c424_i.png
Kyle,64,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c416_i.png
Agnes,65,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c127_i.png
Hazel,66,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c288_i.png
Genji,67,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c24_i.png
