name,ranking
Raymond,1
Marshal,2
Marina,3
Zucker,4
Sherb,5
Judy,6
Bob,7
Fauna,8
Audie,9
Beau,10
Coco,11
Stitches,12
Lucky,13
Molly,14
Scoot,15
Dom,16
Lolly,17
Merengue,18
Cherry,19
Goldie,20
Roald,21
Diana,22
Ankha,23
Rosie,24
Ketchup,25
Julian,26
Tangy,27
Erik,28
Apple,29
Pietro,30
Maple,31
Punchy,32
Apollo,33
Flora,34
Tia,35
Weber,36
Fang,37
Whitney,38
Cookie,39
Lily,40
Flurry,41
Skye,42
Filbert,43
Poppy,44
Bangle,45
Pashmina,46
Octavian,47
Melba,48
Bam,49
Katt,50
Kiki,51
Clay,52
Hornsby,53
Muffy,54
Bluebear,55
Chevre,56
Zell,57
Wolfgang,58
Kabuki,59
Merry,60
Aurora,61
Bianca,62
Pekoe,63
Kyle,64
Bunnie,65
Genji,66
Hazel,67
Lobo,68
Agnes,69
Gayle,70
Lyman,71
Peanut,72
Cube,73
Ruby,74
Kidd,75
Teddy,76
Phoebe,77
Daisy,78
Ozzie,79
Hamlet,80
Shari,81
Vesta,82
Freya,83
Antonio,84
Drago,85
Mitzi,86
Kid Cat,87
June,88
Puddles,89
Wendy,90
Eugene,91
Shep,92
Chrissy,93
Biskit,94
Bones,95
Midge,96
Henry,97
Dobie,98
Roscoe,99
Wade,100
Reneigh,101
Flo,102
Ellie,103
Mira,104
Sprocket,105
Dotty,106
Cranston,107
Tutu,108
Ribbot,109
Dizzy,110
Rex,111
Bill,112
Static,113
Snake,114
Cheri,115
Chief,116
Celia,117
Nan,118
Sterling,119
Julia,120
Biff,121
Lopez,122
Olivia,123
Canberra,124
Gala,125
Sydney,126
Rolf,127
Joey,128
Poncho,129
Stella,130
Tammy,131
Pinky,132
Papi,133
Tank,134
Jeremiah,135
Walker,136
Graham,137
Fuchsia,138
Gladys,139
Quillson,140
Alice,141
Phil,142
Freckles,143
Goose,144
Nana,145
Norma,146
Moe,147
Raddle,148
Margie,149
Bruce,150
Chester,151
Deirdre,152
Olive,153
Diva,154
Rudy,155
Bertha,156
Nate,157
Megan,158
Maddie,159
Bubbles,160
Vivian,161
Bea,162
Piper,163
Puck,164
Boomer,165
Keaton,166
Walt,167
Axel,168
Alfonso,169
Vladimir,170
Butch,171
Savannah,172
Mac,173
Patty,174
Tex,175
Rodeo,176
Pate,177
Deli,178
Egbert,179
Sylvana,180
Francine,181
Frita,182
Sly,183
Carmen,184
Boots,185
Billy,186
Felicity,187
Flip,188
Mint,189
Tom,190
Pango,191
Buck,192
Stu,193
Willow,194
Bella,195
Murphy,196
Tiffany,197
Eunice,198
Sprinkle,199
Doc,200
Blanche,201
Prince,202
Agent S,203
Twiggy,204
Nibbles,205
Boone,206
Beardo,207
Chadder,208
Elvis,209
Ken,210
Pierce,211
Olaf,212
Coach,213
Blaire,214
Tabby,215
Pudge,216
Plucky,217
Bettina,218
Stinky,219
Tipper,220
Del,221
Drake,222
Cole,223
Al,224
Anchovy,225
Colton,226
Deena,227
Iggly,228
Sheldon,229
Broccolo,230
Rodney,231
Winnie,232
Avery,233
Lionel,234
Rod,235
Pecan,236
Caroline,237
Pompom,238
Barold,239
Camofrog,240
Cyd,241
Jay,242
Kitt,243
Annalisa,244
Spike,245
Jacob,246
Cyrano,247
Sylvia,248
Peggy,249
Marcie,250
Tammi,251
Ava,252
Hopkins,253
Hopper,254
Gaston,255
Tasha,256
Derwin,257
Chops,258
Marcel,259
Renee,260
Victoria,261
Portia,262
Purrl,263
Paolo,264
Tybalt,265
Rowan,266
Drift,267
Hamphrey,268
Hugh,269
Gonzo,270
Rocket,271
Benedict,272
Klaus,273
Grizzly,274
Maggie,275
Ed,276
Hans,277
Sally,278
Bud,279
Anabelle,280
Kody,281
Amelia,282
Leonardo,283
Elmer,284
Bonbon,285
Jacques,286
Bree,287
Claude,288
Curlos,289
Benjamin,290
Simon,291
Lucy,292
Gabi,293
Opal,294
Louie,295
Curt,296
Leopold,297
Cousteau,298
Big Top,299
Tucker,300
Groucho,301
Dora,302
Rasher,303
Ike,304
Rory,305
Eloise,306
Kevin,307
Pippy,308
Gloria,309
Cally,310
Yuka,311
Soleil,312
Lucha,313
O'Hare,314
Rhonda,315
Knox,316
Ursala,317
Samson,318
Huck,319
Claudia,320
Truffles,321
Carrie,322
Peewee,323
Sparro,324
Peck,325
Gruff,326
Cobb,327
Clyde,328
Gigi,329
Spork,330
Sandy,331
Charlise,332
Mott,333
Admiral,334
Kitty,335
Tad,336
Astrid,337
Mathilda,338
Peaches,339
Angus,340
Naomi,341
Frank,342
Penelope,343
Frobert,344
Monique,345
Jitters,346
Friga,347
Vic,348
Cleo,349
Curly,350
Rocco,351
Ricky,352
Jambette,353
Harry,354
Rooney,355
Monty,356
Croque,357
Gwen,358
Anicotti,359
Alli,360
Robin,361
Paula,362
Candi,363
Timbra,364
Violet,365
Annalise,366
Miranda,367
T-Bone,368
Queenie,369
Velma,370
Limberg,371
Buzz,372
Chow,373
Hippeux,374
Mallary,375
Boris,376
Becky,377
Cesar,378
Moose,379
Snooty,380
Baabara,381
Maelle,382
Cashmere,383
Wart Jr.,384
Boyd,385
Bitty,386
Pancetti,387
Broffina,388
Rizzo,389
Greta,390
Elise,391
